accession	domain	phylum	class	order	family	genus	species	cutacc	assembly_status	refseq_category	taxonomy_check_status	match_status	completeness	completeness_percentile	contamination	geo_loc_name	lat_lon	host	isolation_source	sample_type
RS_GCF_003931875.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003931875	GCF_003931875.1	current	NA	OK	genus_match	98.39	100	1.52	Indonesia: Lake Matano	2.46 S 121.28 E	NA	NA	ncbi
RS_GCF_004564355.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium wangchenii	GCF_004564355.1	current	reference genome	OK	below_threshold_mismatch	97.38	100	0.71	China: Naqu City, Tibet Autonomous Region	NA	Tibetan Gazelle	NA	reference
RS_GCF_008727775.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium lushaniae	GCF_008727775.1	current	reference genome	OK	below_threshold_mismatch	94.94	100	0.87	China: Qinghai province, Yushu, Hoh Xil	NA	Ochotona curzoniae (plateau pika)	NA	reference
RS_GCF_003635115.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003635115	GCF_003635115.1	current	NA	OK	genus_match	98.57	100	2.95	Italy	missing	not applicable	missing	ncbi
RS_GCF_003095395.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003095395	GCF_003095395.1	current	NA	OK	genus_match	98.51	100	2.14	Russia: Gydan Peninsula	72.37416667 N 78.61166667 E	NA	Permafrost sediments	ncbi
RS_GCF_008017415.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium hatanonis	GCF_008017415.1	current	reference genome	OK	species_match	98.57	100	1.49	not collected	NA	not applicable	hairspray	reference
RS_GCF_005774735.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp005774735	GCF_005774735.1	current	NA	OK	genus_match	99.64	100	1.82	Turkmenistan: Mary	NA	NA	Desert soil	ncbi
RS_GCF_004022425.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium enclense_A	GCF_004022425.1	current	NA	Inconclusive	below_threshold_mismatch	98.8	100	1.96	China: The East China Sea	NA	NA	Natural near bottom seawater	ncbi
RS_GCF_001984105.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001984105	GCF_001984105.1	current	NA	OK	genus_match	99.46	100	2.56	USA: UT, Canyonlands National Park	NA	NA	Cyanobacteria biocrust soil	ncbi
RS_GCF_004366135.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp004366135	GCF_004366135.1	suppressed	NA	NA	NA	NA	NA	NA	missing	not collected	NA	NA	suppressed
RS_GCF_000333395.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp000333395	GCF_000333395.1	current	NA	OK	genus_match	88.2	100	3.36	NA	NA	NA	NA	ncbi
RS_GCF_001619615.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001619615	GCF_001619615.1	current	NA	OK	genus_match	99.29	100	1.52	Malaysia: Perak	NA	NA	Ulu Slim Hot Spring	ncbi
RS_GCF_900156455.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp900156455	GCF_900156455.1	current	NA	OK	genus_match	99.64	100	0.67	missing	missing	not applicable	missing	ncbi
GB_GCA_016870695.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp016870695	GCA_016870695.1	current	NA	Inconclusive	below_threshold_lineage_match	NA	NA	NA	Tanzania: Lake Tanganyika, Kigoma	6.2556 S 29.5108 E	NA	freshwater lake	ncbi
RS_GCF_001476285.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium testaceum_B	GCF_001476285.1	current	NA	Inconclusive	below_threshold_mismatch	98.57	37.5	0.57	India	NA	Oryza sativa	NA	ncbi
RS_GCF_000202635.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium testaceum_F	GCF_000202635.1	current	NA	Inconclusive	below_threshold_mismatch	99.46	75	NA	NA	NA	NA	NA	ncbi
RS_GCF_001476655.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium testaceum_C	GCF_001476655.1	current	NA	Inconclusive	below_threshold_mismatch	96.91	12.5	0.62	India	NA	Oryza sativa	NA	ncbi
RS_GCF_001792815.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001792815	GCF_001792815.1	current	NA	OK	genus_match	99.04	33.333332	0.54	Norway	NA	Lactuca sativa	NA	ncbi
RS_GCF_007679045.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp007679045	GCF_007679045.1	current	NA	OK	genus_match	99.35	66.666664	1.25	USA: North Carolina, Durham	NA	not applicable	environmental	ncbi
RS_GCF_900104345.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium testaceum_A	GCF_900104345.1	current	NA	Inconclusive	below_threshold_match	99.64	95.833336	2.23	missing	missing	NA	NA	ncbi
RS_GCF_008763945.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium testaceum_G	GCF_008763945.1	current	NA	Inconclusive	below_threshold_match	99.7	100	1.19	USA: North Carolina, Durham	NA	not applicable	environmental	ncbi
RS_GCF_017833635.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp017833635	GCF_017833635.1	suppressed	NA	NA	NA	NA	NA	NA	USA: Memphis, Nebraska	41.146 N 96.436 W	not applicable	missing	suppressed
RS_GCF_003386675.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium chocolatum_A	GCF_003386675.1	suppressed	NA	NA	NA	NA	NA	NA	missing	missing	not applicable	missing	suppressed
RS_GCF_006539145.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium testaceum	GCF_006539145.1	current	reference genome	OK	species_match	99.46	75	2.53	missing	missing	NA	NA	reference
RS_GCF_001456955.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium enclense	GCF_001456955.1	current	NA	OK	species_match	98.39	71.42857	1.49	India: Chora Island	15.5428 N 73.9208 E	NA	marine sediment	ncbi
RS_GCF_001424225.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001424225	GCF_001424225.1	current	NA	OK	genus_match	99.29	100	0.8	Switzerland:Zurich	47.4816806 N 8.21754722 E	Arabidopsis thaliana	NA	ncbi
RS_GCF_014192415.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium proteolyticum	GCF_014192415.1	current	reference genome	OK	below_threshold_mismatch	98.75	33.333332	1.1	missing	missing	not applicable	missing	reference
RS_GCF_003075375.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium testaceum_E	GCF_003075375.1	current	NA	Inconclusive	below_threshold_mismatch	99.07	45.833332	2.86	USA: South Dakota	NA	NA	Bioreactor	ncbi
RS_GCF_004854025.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium hydrothermale	GCF_004854025.1	current	reference genome	OK	species_match	99.39	100	0.89	India:Dampa Tiger Reserve Forest	NA	Mirabilis jalapa	missing	reference
RS_GCF_900156435.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp900156435	GCF_900156435.1	current	NA	OK	genus_match	99.11	100	1.16	missing	missing	not applicable	missing	ncbi
flye_asm_3Dt2h_part2	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__	3Dt2h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bangor
RS_GCF_001652465.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium chocolatum	GCF_001652465.1	current	reference genome	OK	species_match	98.58	33.333332	1.88	China: Southern China	NA	NA	soil	reference
GB_GCA_002703245.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp002703245	GCA_002703245.1	current	NA	OK	genus_match	NA	NA	NA	Indian Ocean	NA	not applicable	Eastern Africa Coastal Province	ncbi
RS_GCF_015277875.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp900098805	GCF_015277875.1	current	reference genome	OK	below_threshold_mismatch	98.18	100	1.96	Indian Ocean	NA	NA	water from marine environment	reference
RS_GCF_014836535.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp014836535	GCF_014836535.1	current	reference genome	OK	below_threshold_mismatch	98.39	100	1.43	United Kingdom: Norwich	NA	Gallus gallus	NA	reference
